"phrase_id","phrase_text","phrase_text_lower"
"1","Edit categories","edit categories"
"2","Edit forums","edit forums"
"3","Edit entries","edit entries"
"4","Page is now a main node.","page is now a main node."
"5","Can not reload modules.","can not reload modules."
"6","Page is now a normal node.","page is now a normal node."
"7","Print view disabled.","print view disabled."
"8","Navigation visibility","navigation visibility"
"9","Can not copy this page.","can not copy this page."
"10","Page copied!","page copied!"
"11","CC","cc"
"12","BCC","bcc"
"13","Delete backup for ""%s"" from %s?","delete backup for ""%s"" from %s?"
"14","Delete backup","delete backup"
"15","Backup deleted.","backup deleted."
"16","Images","images"
"17","Can not find cache directory.","can not find cache directory."
"18","New alias","new alias"
"19","Create a new alias","create a new alias"
"20","Delete folder ""%s""?","delete folder ""%s""?"
"21","Use own metatags.","use own metatags."
"22","New group created.","new group created."
"23","The folder is not empty.","the folder is not empty."
"24","Delete view ""%s"" (%s)?","delete view ""%s"" (%s)?"
"25","Columns","columns"
"26","View deleted.","view deleted."
"27","Orientation","orientation"
"28","Delete file ""%s"" (%s)?","delete file ""%s"" (%s)?"
"29","Print view activated.","print view activated."
"30","Restore backup for ""%s"" from %s?","restore backup for ""%s"" from %s?"
"31","Restore backup","restore backup"
"32","Backup restored.","backup restored."
"33","Goto page","goto page"
"34","Page ID","page id"
"35","GoTo","goto"
"36","page splitting","page splitting"
"37","Threads per page","threads per page"
"38","Entries per page","entries per page"
"39","Delete thread ""%s"" (%s) from ""%s""?","delete thread ""%s"" (%s) from ""%s""?"
"40","Delete subthread","delete subthread"
"41","%s files deleted.","%s files deleted."
"42","Regulary date saved and %d dates created.","regulary date saved and %d dates created."
"43","Regulary dates","regulary dates"
"44","Dates","dates"
"45","Time configuration","time configuration"
"46","Date list","date list"
"47","Create dates","create dates"
"48","Create single dates for a regulary date","create single dates for a regulary date"
"49","Regulary date deleted.","regulary date deleted."
"50","Module for calculating the dates","module for calculating the dates"
"51","Earliest date in ISO format (2002-12-31)","earliest date in iso format (2002-12-31)"
"52","Latest date in ISO format (2003-12-31)","latest date in iso format (2003-12-31)"
"53","Maximum count","maximum count"
"54","View added.","view added."
"55","Show input form on webpage?","show input form on webpage?"
"56","Input form","input form"
"57","Delete entry ""%s"" (%s)?","delete entry ""%s"" (%s)?"
"58","Delete entry ""%s"" (%s) from ""%s""?","delete entry ""%s"" (%s) from ""%s""?"
"59","Page ""%s (%s)"" on ""%s"" from ""%s (%s@%s)"" published.","page ""%s (%s)"" on ""%s"" from ""%s (%s@%s)"" published."
"60","Per page","per page"
"61","Mode","mode"
"62","Title - answer","title - answer"
"63","Title - question","title - question"
"64","Delete thread","delete thread"
"65","Entry","entry"
"66","Delete entry","delete entry"
"67","Registered User","registered user"
"68","Page published.","page published."
"69","Page ""%s (%s)"" published.","page ""%s (%s)"" published."
"70","Threads","threads"
"71","Thread","thread"
