"phrase_id","lng_id","translation"
"460","1","inherited"
"459","2","FAQs"
"459","1","FAQs"
"458","2","Sie verfügen nicht über die benötigten Rechte."
"458","1","You don´t have the needed permissions."
"457","2","Verwalten"
"457","1","Manage"
"456","2","Der Benutzer wurde aus der Gruppe entfernt"
"456","1","User removed from group."
"455","2","Der Benutzer wurde der Gruppe hinzugefügt."
"455","1","User added to group."
"454","2","Durchsuchen"
"454","1","Browse"
"1","2","Kategorien ändern"
"1","1","Edit categories"
"2","2","Foren ändern"
"2","1","Edit forums"
"3","2","Einträge ändern"
"3","1","Edit entries"
"4","2","Die Seite ist nun ein Hauptknoten."
"4","1","Page is now a main node."
"5","2","Die Module konnten nicht neu geladen werden."
"5","1","Can not reload modules."
"6","2","Die Seite ist nun ein normaler Knoten."
"6","1","Page is now a normal node."
"7","2","Druckansicht deaktiviert."
"7","1","Print view disabled."
"8","2","Sichtbarkeit in der Navigation"
"8","1","Navigation visibility"
"9","2","Die Seite konnte nicht kopiert werden."
"9","1","Can not copy this page."
"10","2","Seite kopiert!"
"10","1","Page copied!"
"11","2","CC"
"11","1","CC"
"12","1","BCC"
"12","2","BCC"
"13","2","Backup von""%s"" vom %s löschen?"
"453","2","unbekannt"
"452","1","Add"
"452","2","Hinzufügen"
"449","1","Delete"
"449","2","Löschen"
"450","1","Save"
"450","2","Speichern"
"451","1","Phrases"
"451","2","Phrasen"
"447","1","Phrase"
"447","2","Phrase"
"448","1","Edit"
"448","2","Ändern"
"446","1","Translations"
"446","2","Übersetzungen"
"445","1","All"
"445","2","Alle"
"444","1","Message"
"444","2","Nachricht"
"443","1","Messages"
"443","2","Nachrichten"
"442","1","Languages"
"442","2","Sprachen"
"453","1","unknown"
"440","1","Additional permissions"
"441","2","Änderungen gespeichert."
"440","2","Zusätzliche Rechte"
"439","1","Inherited permissions"
"439","2","Übernommene Rechte"
"438","1","Own permissions"
"437","1","Working"
"438","2","Eigene Rechte"
"437","2","In Bearbeitung"
"436","1","Edited"
"436","2","Geändert"
"435","1","Ready"
"435","2","Freigegeben"
"434","1","Created"
"434","2","Erzeugt"
"433","1","Event protocol"
"433","2","Ereignisprotokoll"
"432","1","Internals"
"432","2","Internes"
"431","1","Language"
"431","2","Sprache"
"430","1","Project defaults"
"430","2","Projektoptionen"
"429","1","Debugging"
"429","2","Fehlersuche"
"428","1","Files and Directories"
"428","2","Dateien und Verzeichnisse"
"427","1","Tables"
"427","2","Tabellen"
"425","1","Change"
"425","2","Ändern"
"441","1","Changes saved."
"426","1","Change option"
"426","2","Option ändern"
"424","1","Options"
"424","2","Optionen"
"423","1","Cronjobs"
"423","2","Cronjobs"
"422","1","Calendar"
"422","2","Kalender"
"421","2","Datenbank"
"421","1","Database"
"420","1","Pages"
"420","2","Seiten"
"419","1","User"
"419","2","Benutzer"
"418","1","Error"
"418","2","Fehler"
"417","1","Warning"
"417","2","Warnung"
"416","1","Information"
"416","2","Information"
"414","1","Boxes"
"414","2","Boxen"
"413","1","Media database"
"413","2","Mediendatenbank"
"412","1","Misc"
"412","2","Verschiedenes"
"411","1","Administration"
"411","2","Administration"
"410","1","To"
"410","2","Bis"
"408","1","From"
"408","2","Von"
"407","1","Planning horizon and max. count"
"407","2","Planungszeitraum und max. Anzahl"
"406","1","Time"
"406","2","Zeit"
"405","1","Please select"
"405","2","Bitte auswählen"
"404","1","Content"
"404","2","Inhalt"
"403","1","Modules"
"403","2","Module"
"402","1","Duration (Days)"
"402","2","Dauer (Tage)"
"401","1","Date text"
"401","2","Datumstext"
"400","1","Title"
"400","2","Titel"
"399","2","Eigenschaften"
"399","1","Properties"
"398","1","Protocol of translation engine flushed."
"398","2","Protokoll der Übersetzungskomponente geleert."
"409","1","Maximum"
"409","2","Maximum"
"397","1","Module selection"
"397","2","Modulauswahl"
"395","1","State"
"395","2","Status"
"396","1","Text"
"396","2","Text"
"394","1","Edit content"
"394","2","Inhalt bearbeiten"
"393","1","Content module"
"393","2","Inhaltsmodul"
"392","1","Link database"
"392","2","Linkdatenbank"
"391","1","Links"
"391","2","Links"
"390","1","Multimedia database"
"390","2","Multimediadatenbank"
"389","2","MediaDB"
"389","1","MediaDB"
"388","1","Calendar of events"
"388","2","Kalender für Ereignisse/Veranstaltungen"
"387","1","Calendar"
"387","2","Kalender"
"386","1","Company database"
"386","2","Firmendatenbank"
"385","1","Companies"
"385","2","Firmen"
"384","1","Visitors management"
"384","2","Besucherverwaltung"
"383","1","Community"
"383","2","Community"
"382","1","Image browser"
"382","2","Bildbrowser"
"381","1","Interface Translations"
"381","2","Übersetzungen des Benutzerinterfaces"
"380","1","Protocol"
"380","2","Protokoll"
"379","1","System configuration"
"379","2","Systemkonfiguration"
"378","1","Configuration"
"378","2","Konfiguration"
"377","1","Modules management"
"377","2","Modulverwaltung"
"376","1","User management"
"376","2","Benutzerverwaltung"
"374","1","Users"
"374","2","Benutzer"
"375","1","Configure views"
"375","2","Ansichten konfigurieren"
"373","1","Views"
"373","2","Ansichten"
"372","1","Edit boxes"
"372","2","Boxen ändern"
"371","1","Aliases for pages"
"371","2","Aliase für Seiten"
"369","1","Aliases"
"369","2","Aliase"
"370","1","Messaging between the users"
"370","2","Kommunikation zwischen den Benutzern"
"368","1","Edit pages"
"368","2","Seiten ändern"
"367","1","All pages in a tree"
"367","2","Alle Seiten in einer Baumansicht"
"366","1","Sitemap"
"366","2","Sitemap"
"365","1","Module"
"365","2","Modul"
"363","1","Clear Log"
"363","2","Log löschen"
"364","1","Edit permissions"
"364","2","Rechte ändern"
"362","1","Page preview"
"362","2","Seitenvorschau"
"361","1","Permissions"
"361","2","Rechte"
"360","1","Version managment"
"360","2","Versionsverwaltung"
"359","1","Versions"
"359","2","Versionen"
"358","1","Next page"
"358","2","Nächste Seite"
"357","1","Next"
"356","1","Preview"
"357","2","Nächste"
"356","2","Vorschau"
"355","1","Restrict access"
"355","2","Zugriff beschränken"
"354","1","Access"
"354","2","Zugriff"
"353","1","Define aliases"
"353","2","Aliase definieren"
"352","1","Connect boxes"
"352","2","Boxen anbinden"
"351","1","Select module and view"
"351","2","Modul und Ansicht auswählen"
"350","1","Delete this page"
"350","2","Diese Seite löschen"
"349","1","Delete page"
"349","2","Seite löschen"
"348","1","Create a new subpage"
"348","2","Neue Unterseite erzeugen"
"347","1","New subpage"
"347","2","Neue Unterseite"
"346","1","Create a new page"
"346","2","Neue Seite erzeugen"
"345","1","New page"
"345","2","Neue Seite"
"344","1","Metatags"
"344","2","Metatags"
"343","1","Question"
"343","2","Frage"
"342","1","Delete page ""%s"" (%s)?"
"342","2","Seite ""%s"" (%s) löschen?"
"341","1","Page deleted."
"341","2","Seite gelöscht."
"340","1","Prior"
"340","2","Vorherige"
"338","1","Empty cache"
"338","2","Cache leeren"
"337","1","URL"
"337","2","URL"
"339","1","Check and correct path index"
"339","2","Prüfe und korrigiere Pfadindex"
"336","1","Text float"
"336","2","Textumfluss"
"335","1","Image align"
"335","2","Bildausrichtung"
"334","1","Image"
"334","2","Bild"
"333","1","Teaser"
"333","2","Kurztext"
"332","1","Subtitle"
"332","2","Untertitel"
"331","1","Automatic linebreaks"
"331","2","Automatische Zeilenumbrüche"
"330","1","Apply linebreaks from input to the HTML output."
"330","2","Umbrüche aus der Eingabe in die HTML-Ausgabe übernehmen."
"329","1","Empty output cache"
"329","2","Ausgabecache leeren"
"328","1","Check index"
"328","2","Index prüfen"
"327","1","Navigation"
"327","2","Navigation"
"326","1","Prior page"
"325","1","Sort"
"326","2","Vorherige Seite"
"324","1","No"
"325","2","Sortierung"
"324","2","Nein"
"323","1","Yes"
"323","2","Ja"
"322","1","Main node"
"322","2","Hauptknoten"
"321","1","Disabled"
"321","2","Deaktiviert"
"320","1","Active"
